Title,Current Price,Threshold,Time
,,,
Borderlands 3,55.56,55,2019-10-04 09:31:29.556574+05:53
,,,
Borderlands 3,55.56,55,2019-10-04 09:31:40.736205+05:53
,,,
Borderlands 3,55.56,55,2019-10-04 09:31:51.611117+05:53
,,,
Borderlands 3,55.56,55,2019-10-04 09:32:02.817151+05:53
,,,
Borderlands 3,55.47,55,2019-10-04 15:25:31.194422+05:53
,,,
Borderlands 3,55.47,55,2019-10-04 15:25:42.087860+05:53
,,,
Borderlands 3,55.47,57,2019-10-04 15:25:59.716743+05:53
,,,
Borderlands 3,55.3,70,2019-10-08 10:50:33.007061+05:53
,,,
Borderlands 3,55.3,45,2019-10-08 10:58:55.889534+05:53
,,,
Borderlands 3,55.3,45,2019-10-08 10:59:09.400665+05:53
,,,
Borderlands 3,55.3,45,2019-10-08 10:59:20.354835+05:53
,,,
Borderlands 3,55.3,45,2019-10-08 10:59:32.192205+05:53
,,,
Borderlands 3,55.3,45,2019-10-08 10:59:43.808637+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:10:14.526000+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:10:25.567454+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:10:36.593210+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:10:47.830170+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:10:58.846078+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:11:09.823075+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:11:20.860857+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:11:31.842347+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:11:42.732488+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:11:53.619320+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:12:04.679400+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:12:15.851525+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:12:26.788316+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:13:33.767783+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:13:44.749425+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:13:55.910553+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:18:18.691062+05:53
,,,
Borderlands 3,55.3,10,2019-10-08 11:18:29.538153+05:53
Borderlands 3,55.01,10,2019-10-10 12:33:41.183426+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:33:52.241884+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:34:03.221379+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:34:14.250278+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:34:25.339036+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:34:53.218670+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:35:04.537932+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:35:15.867780+05:53
,,,
Borderlands 3,55.01,10,2019-10-10 12:35:26.974037+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:45:19.083609+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:45:33.265264+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:45:45.096328+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:45:56.905812+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:46:09.282032+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:46:21.095066+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:47:01.689922+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:47:14.204914+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:48:05.038866+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:48:17.520134+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:48:29.140687+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:48:40.942163+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:48:52.443445+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:49:04.454173+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:49:15.969794+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:55:14.268002+05:53
Borderlands 3,55.01,10.0,2019-10-10 12:55:26.895134+05:53
